Image Name,PSNR (dB),SSIM,MAE
08141.png,28.696075864173118,0.9391244636838901,3.7801476
07437.png,33.33911379621015,0.9398124217559,3.7728462
03625.png,28.04497882610354,0.82415620916777,6.2611847
05582.png,26.83742449863836,0.9174695398715097,4.986468
01980.png,31.65631461009426,0.9379664613646064,3.5684967
05420.png,29.474805447833194,0.8499760953964132,5.408203
06507.png,30.190620965103573,0.840306295439059,5.7869515
08247.png,29.665905805166513,0.9539518515521489,4.2917647
03874.png,31.325885875841365,0.9418315053298757,3.8440793
00148.png,31.25467057786819,0.9214258834642138,4.079886
05898.png,27.67380683113685,0.8610045416983905,5.465721
04440.png,26.221920007728052,0.7720551282563642,7.3754845
02897.png,28.06425288990287,0.8366745423137111,6.731571
06512.png,30.96262938206747,0.9264520254209444,4.1879907
01362.png,29.72550883842818,0.8098984321765803,5.6860123
02176.png,29.808618497684428,0.9077749062208272,5.5918365
07703.png,27.418599796492018,0.8700167886642197,6.1740327
06912.png,31.547706540023594,0.939308380346881,3.486472
03339.png,34.33088158170963,0.9486836538081138,2.8240929
06979.png,30.3028967347066,0.9423040075361414,3.4766324
08680.png,26.569019413814758,0.9193464906420861,5.374849
03742.png,28.20389113114089,0.843656668784936,6.6135383
08748.png,32.90667846319596,0.86666064867975,4.452043
08707.png,34.20104817799506,0.9278792945888356,3.5184262
07004.png,22.864941686732717,0.820230209080662,6.3077683
03103.png,30.868730145473968,0.9443658781933975,4.966751
00313.png,30.266095985464556,0.9352349228901099,3.4105797
03302.png,27.22712719242741,0.8994449483501944,6.9963546
08488.png,27.658030765381017,0.9132799423556989,5.1230445
00132.png,28.34020448336723,0.8100020124838215,6.5713234
08619.png,29.01686588944247,0.9316324681285194,4.700049
04060.png,30.97459724665031,0.9272772121084011,4.845511
03240.png,30.95434840295791,0.9008918966981506,4.2205415
00941.png,25.69641089729871,0.9037674608154163,7.3764725
05596.png,28.70805026812063,0.8141174864329757,7.0750947
00899.png,31.450310486261436,0.9574722634868578,3.6974971
08981.png,28.341210982355705,0.723938466310161,6.926352
03378.png,28.330134320918354,0.8999048317773375,5.9494705
06059.png,28.384537015560216,0.8985893709318774,4.7611823
01415.png,31.17068431595412,0.9483217459756622,3.3734894
00879.png,25.114953107152967,0.8963530909586339,6.385862
04045.png,30.647774646615353,0.9464388536009536,3.7063572
02777.png,36.16802378449187,0.9706414642983273,2.948424
07801.png,28.157391953437802,0.9047461206807165,4.810669
02727.png,30.86347998378724,0.9394860919923277,4.6160493
08221.png,27.66099936467925,0.9593037648672257,4.0972543
00060.png,31.589245154008566,0.9136262861115623,3.5597522
01919.png,29.464416276007476,0.8377352256104152,5.831907
07340.png,33.66837516505463,0.9529782220440159,2.9082565
02380.png,29.351128490664866,0.926823796026721,4.559452
00980.png,31.399155356289153,0.9597292361013229,3.922292
08463.png,28.477170678314508,0.874632213206806,6.8419127
04732.png,30.507512356978353,0.944914161641925,4.4820175
03196.png,28.529787304680042,0.8872257369630047,5.9199715
01960.png,27.616883429090123,0.8511109368836505,5.681853
00528.png,24.08130631904322,0.9284112848913807,5.993074
06570.png,33.48962934432687,0.9309115687056729,3.3030205
05047.png,28.699583323840514,0.9284453108612288,5.2653923
07914.png,30.273751961344814,0.8470827076520111,5.3596206
03117.png,30.58725905902927,0.8534971320250954,5.490622
06878.png,29.0248899493919,0.79504352377119,5.662792
00801.png,31.42366064902946,0.8414594551692455,4.8180747
04959.png,29.37421395370871,0.9377568358044309,4.410717
06208.png,32.07713512767219,0.9288724548504897,3.965472
05050.png,27.758862230641192,0.8063734231320242,7.9159837
04322.png,30.59313169517931,0.952172249637846,4.820585
05395.png,28.243137070897426,0.911607063132894,4.875483
03298.png,29.608075229904053,0.9416046307911001,5.0822296
04234.png,28.51369099916078,0.7627190990461418,6.7277374
03513.png,34.64933782559542,0.9673005286035056,3.455598
03923.png,28.564375542243347,0.8464146173531947,6.670484
00720.png,31.15192469639364,0.8283763895945548,5.10185
04306.png,26.580370094770856,0.8493963504417471,6.51643
02547.png,31.223069716142447,0.9552615241474062,4.044539
04529.png,27.72195691630539,0.8256480011504799,7.0265975
05732.png,29.2999388214138,0.947857959868592,5.7119102
07480.png,33.04171572457387,0.9707104157666429,3.3848152
02184.png,31.20090686245379,0.9524231501599839,3.566531
04459.png,26.17942756067049,0.824524330966196,6.288559
00506.png,27.714145864941038,0.9341165500815665,4.215172
02688.png,32.79701422143023,0.920595382471365,4.1620903
04212.png,29.537548072606015,0.9553382913656066,2.9183846
03608.png,28.845998427225435,0.8709353607248592,4.9294434
08007.png,30.233466118275054,0.9143539730755803,6.039041
06998.png,28.352390061912832,0.8910008213145665,5.6532555
01996.png,28.785258550705915,0.9408220505568577,4.1793113
00026.png,28.21029900911689,0.6413751298124828,7.426108
08003.png,30.961961103722267,0.8739650931037758,5.1138825
06027.png,33.38597097769286,0.9456573463975153,3.4550323
03879.png,32.274453755381764,0.9083728320081788,3.6154644
07384.png,30.15664309461605,0.9282203004088333,5.148388
05511.png,25.50592040695202,0.9332869737447201,5.9909363
08437.png,28.63055978257558,0.8221575827246083,6.0847893
02219.png,28.342990980445386,0.822473399222682,6.44052
06517.png,31.313780458650953,0.9463169065188378,3.8779576
05790.png,33.03809004520208,0.8522846428620333,4.246783
07702.png,33.772433019237276,0.9420114292022799,3.083308
03609.png,26.296636260605403,0.8094478169261912,7.3489747
01239.png,29.234146927630633,0.9337533251282611,3.7524083
06657.png,29.11314265285306,0.8575125358006233,6.499495
01201.png,29.968638741748133,0.8116568028138959,5.5722795
07359.png,28.353882573109672,0.7888353996249512,6.7553344
03310.png,31.449461058791897,0.9322949333402463,3.7076175
08288.png,27.987003803927383,0.947778881806057,6.1385765
06479.png,27.118075923989945,0.7959059671697643,7.995787
06274.png,29.968594560729382,0.8482755445431739,5.3777046
08910.png,29.593789068560937,0.9103902155426624,3.5039291
00794.png,30.014796496066786,0.8504472097775166,5.5502114
08364.png,26.088574746970163,0.9413748265139236,5.894114
07470.png,33.109406296060804,0.9386649570884963,4.195231
08027.png,31.377334046223353,0.8488783562958906,4.730634
04740.png,30.533734677875906,0.8465505128251366,5.796186
08982.png,34.63939126860372,0.9671791548786383,2.644905
04602.png,27.378984356524487,0.9075135146731478,5.216349
07023.png,32.55877731763259,0.878999215630643,4.093071
00735.png,25.759319682202424,0.930069318412274,4.2218857
01130.png,27.728852180998103,0.9403070403719798,4.863112
03307.png,26.72505353232968,0.8929487461437796,6.7736106
03912.png,21.580946651587322,0.8659213369252873,11.572001
08526.png,31.736252740765806,0.9360176606029488,3.5126827
04453.png,33.32850504254975,0.9252807915247043,4.089045
06411.png,29.51268587731869,0.8337563877615045,5.9857764
05449.png,28.697910666096025,0.9014621981512415,4.433562
01854.png,28.96909884520818,0.9090452218110716,4.7075844
